O*NET-SOC Code,Title,Example
15-1299.09,Information Technology Project Managers,Application servers
15-1299.09,Information Technology Project Managers,Desktop computers
15-1299.09,Information Technology Project Managers,Laptop computers
15-1299.09,Information Technology Project Managers,Laser printers
15-1299.09,Information Technology Project Managers,Multi-line telephone systems
15-1299.09,Information Technology Project Managers,Personal computers
15-1299.09,Information Technology Project Managers,Smartphones
15-1299.09,Information Technology Project Managers,Tablet computers
15-1299.09,Information Technology Project Managers,Universal serial bus USB flash drives
15-1299.09,Information Technology Project Managers,Web servers
15-2011.00,Actuaries,10-key calculators
15-2011.00,Actuaries,Desktop computers
15-2011.00,Actuaries,Notebook computers
15-2011.00,Actuaries,Personal computers
15-2021.00,Mathematicians,Desktop computers
15-2021.00,Mathematicians,Graphing calculators
15-2021.00,Mathematicians,Laptop computers
15-2021.00,Mathematicians,Optical disk drives
15-2021.00,Mathematicians,Personal computers
15-2021.00,Mathematicians,Supercomputers
15-2021.00,Mathematicians,Universal serial bus USB flash drives
15-2031.00,Operations Research Analysts,Desktop computers
15-2031.00,Operations Research Analysts,Laptop computers
15-2031.00,Operations Research Analysts,Mainframe computers
15-2031.00,Operations Research Analysts,Personal computers
15-2041.00,Statisticians,Desktop computers
15-2041.00,Statisticians,Laptop computers
15-2041.00,Statisticians,Personal computers
15-2041.01,Biostatisticians,Computer data input scanners
15-2041.01,Biostatisticians,Computer laser printers
15-2041.01,Biostatisticians,Desktop computers
15-2041.01,Biostatisticians,Laptop computers
15-2041.01,Biostatisticians,Mainframe computers
15-2041.01,Biostatisticians,Personal computers
15-2041.01,Biostatisticians,Plotters
15-2051.01,Business Intelligence Analysts,Computer servers
15-2051.01,Business Intelligence Analysts,Data warehouse appliances
15-2051.01,Business Intelligence Analysts,Laser facsimile machines
15-2051.01,Business Intelligence Analysts,Photocopiers
15-2051.01,Business Intelligence Analysts,Scanners
15-2051.01,Business Intelligence Analysts,Storage servers
15-2051.02,Clinical Data Managers,Handheld computers
15-2051.02,Clinical Data Managers,Laptop computers
15-2051.02,Clinical Data Managers,Smartphones
15-2099.01,Bioinformatics Technicians,Computer clusters
15-2099.01,Bioinformatics Technicians,Computer workstation setups
15-2099.01,Bioinformatics Technicians,Desktop computers
15-2099.01,Bioinformatics Technicians,High throughput screening HTS systems
15-2099.01,Bioinformatics Technicians,Network file servers
15-2099.01,Bioinformatics Technicians,Nuclear magnetic resonance NMR spectrometers
15-2099.01,Bioinformatics Technicians,Semiconductor-based sequencers
15-2099.01,Bioinformatics Technicians,Web servers
17-1011.00,"Architects, Except Landscape and Naval",Architectural templates
17-1011.00,"Architects, Except Landscape and Naval",Arm drafting machines
17-1011.00,"Architects, Except Landscape and Naval",Circular saws
17-1011.00,"Architects, Except Landscape and Naval",Compasses
17-1011.00,"Architects, Except Landscape and Naval",Computer laser printers
17-1011.00,"Architects, Except Landscape and Naval",Computer-guided milling machines
17-1011.00,"Architects, Except Landscape and Naval",Diazo copiers
17-1011.00,"Architects, Except Landscape and Naval",Digital cameras
17-1011.00,"Architects, Except Landscape and Naval",Disk grinding machines
17-1011.00,"Architects, Except Landscape and Naval",Dividers
17-1011.00,"Architects, Except Landscape and Naval",Engineering copiers
17-1011.00,"Architects, Except Landscape and Naval",Fretsaws
17-1011.00,"Architects, Except Landscape and Naval",Hand saws
17-1011.00,"Architects, Except Landscape and Naval",Mat knives
17-1011.00,"Architects, Except Landscape and Naval",Mitre boxes
17-1011.00,"Architects, Except Landscape and Naval",Notebook computers
17-1011.00,"Architects, Except Landscape and Naval",Parallel bars
17-1011.00,"Architects, Except Landscape and Naval",Personal computers
17-1011.00,"Architects, Except Landscape and Naval",Plotters
17-1011.00,"Architects, Except Landscape and Naval",Precision knives
17-1011.00,"Architects, Except Landscape and Naval",Soldering irons
17-1011.00,"Architects, Except Landscape and Naval",Tablet computers
17-1011.00,"Architects, Except Landscape and Naval",Thermal saws
17-1011.00,"Architects, Except Landscape and Naval",Track drafting machines
17-1011.00,"Architects, Except Landscape and Naval",Triangles
17-1012.00,Landscape Architects,Computer scanners
17-1012.00,Landscape Architects,Desktop computers
17-1012.00,Landscape Architects,Digital camcorders
17-1012.00,Landscape Architects,Digital cameras
17-1012.00,Landscape Architects,Global positioning system GPS receivers
17-1012.00,Landscape Architects,Laptop computers
17-1012.00,Landscape Architects,Personal computers
17-1021.00,Cartographers and Photogrammetrists,Aerial imagery mapping-grade global positioning systems GPS
17-1021.00,Cartographers and Photogrammetrists,Analytical stereoplotters
17-1021.00,Cartographers and Photogrammetrists,Automatic levels
17-1021.00,Cartographers and Photogrammetrists,Color digital camera systems
17-1021.00,Cartographers and Photogrammetrists,Color inkjet plotters
17-1021.00,Cartographers and Photogrammetrists,Compasses
17-1021.00,Cartographers and Photogrammetrists,Computer servers
17-1021.00,Cartographers and Photogrammetrists,Digital camcorders
17-1021.00,Cartographers and Photogrammetrists,Digital image printers
17-1021.00,Cartographers and Photogrammetrists,Digitizers
17-1021.00,Cartographers and Photogrammetrists,Dividers
17-1021.00,Cartographers and Photogrammetrists,Drafting instruments
17-1021.00,Cartographers and Photogrammetrists,Drafting machines
17-1021.00,Cartographers and Photogrammetrists,Film processors and editors
17-1021.00,Cartographers and Photogrammetrists,French curves
17-1021.00,Cartographers and Photogrammetrists,Geodetic ground global positioning system GPS receivers
17-1021.00,Cartographers and Photogrammetrists,Global positioning system GPS receivers
17-1021.00,Cartographers and Photogrammetrists,Lamination systems
17-1021.00,Cartographers and Photogrammetrists,Large-format aerial digital cameras
17-1021.00,Cartographers and Photogrammetrists,Large-format plotters
17-1021.00,Cartographers and Photogrammetrists,Laser imaging detection and ranging LIDAR systems
17-1021.00,Cartographers and Photogrammetrists,Laser printers
17-1021.00,Cartographers and Photogrammetrists,Mapping grade global positioning system GPS receivers
17-1021.00,Cartographers and Photogrammetrists,Notebook computers
17-1021.00,Cartographers and Photogrammetrists,Panoramic digital line cameras
17-1021.00,Cartographers and Photogrammetrists,Personal computers
17-1021.00,Cartographers and Photogrammetrists,Photo enlargers
17-1021.00,Cartographers and Photogrammetrists,Photogrammetric scanners
17-1021.00,Cartographers and Photogrammetrists,Planimeters
17-1021.00,Cartographers and Photogrammetrists,Protractors
17-1021.00,Cartographers and Photogrammetrists,Remote sensing equipment
17-1021.00,Cartographers and Photogrammetrists,Scales
17-1021.00,Cartographers and Photogrammetrists,Scanners
17-1021.00,Cartographers and Photogrammetrists,T-squares
17-1021.00,Cartographers and Photogrammetrists,Templates
17-1021.00,Cartographers and Photogrammetrists,Total stations
17-1021.00,Cartographers and Photogrammetrists,Triangles
17-1021.00,Cartographers and Photogrammetrists,Type lettering sets
17-1021.00,Cartographers and Photogrammetrists,Video thermal imagers
17-1021.00,Cartographers and Photogrammetrists,Windows servers
17-1022.00,Surveyors,Abney levels
17-1022.00,Surveyors,Altimeters
17-1022.00,Surveyors,Automatic levels
17-1022.00,Surveyors,Automatic slope lasers
17-1022.00,Surveyors,Barometers
17-1022.00,Surveyors,Clinometers
17-1022.00,Surveyors,Curvimeters
17-1022.00,Surveyors,Depth gauge tapes
17-1022.00,Surveyors,Digital laser rangefinders
17-1022.00,Surveyors,Digital measuring poles
17-1022.00,Surveyors,Direct elevation rods
17-1022.00,Surveyors,Distance meters
17-1022.00,Surveyors,Dot lasers
17-1022.00,Surveyors,Double right-angle prisms
17-1022.00,Surveyors,Electronic digital levels
17-1022.00,Surveyors,Electronic digital theodolites
17-1022.00,Surveyors,Elevator tripods
17-1022.00,Surveyors,Gammon reels
17-1022.00,Surveyors,Geological compasses
17-1022.00,Surveyors,Global positioning system GPS receivers
17-1022.00,Surveyors,Hand levels
17-1022.00,Surveyors,Handheld measuring lasers
17-1022.00,Surveyors,Integrated global positioning systems GPS
17-1022.00,Surveyors,Invisible beam lasers
17-1022.00,Surveyors,Laptop computers
17-1022.00,Surveyors,Laser plumb bobs
17-1022.00,Surveyors,Laser scanners
17-1022.00,Surveyors,Line lasers
17-1022.00,Surveyors,Long range reflectorless total stations
17-1022.00,Surveyors,Machetes
17-1022.00,Surveyors,Magnetic locators
17-1022.00,Surveyors,Measuring rods
17-1022.00,Surveyors,Measuring tapes
17-1022.00,Surveyors,Mechanical theodolites
17-1022.00,Surveyors,Philadelphia rods
17-1022.00,Surveyors,Planimeters
17-1022.00,Surveyors,Plumb bobs
17-1022.00,Surveyors,Pocket personal computers PC
17-1022.00,Surveyors,Pocket transits
17-1022.00,Surveyors,Prism poles
17-1022.00,Surveyors,Prismless total stations
17-1022.00,Surveyors,Reflectorless total stations
17-1022.00,Surveyors,Right-angle prisms
17-1022.00,Surveyors,Road measuring wheels
17-1022.00,Surveyors,Robotic total stations
17-1022.00,Surveyors,Robotic tripods
17-1022.00,Surveyors,Rod levels
17-1022.00,Surveyors,Rotary lasers
17-1022.00,Surveyors,San Francisco rods
17-1022.00,Surveyors,Side scan sonars
17-1022.00,Surveyors,Single-beam echo sounders
17-1022.00,Surveyors,Single-beam transducers
17-1022.00,Surveyors,Stereoscopes
17-1022.00,Surveyors,Surveyors leveling rods
17-1022.00,Surveyors,Telescopic viewers
17-1022.00,Surveyors,Total stations
17-1022.00,Surveyors,Tracking lasers
17-1022.00,Surveyors,Transit levels
17-1022.00,Surveyors,Tribrachs
17-1022.00,Surveyors,Tripods
17-1022.00,Surveyors,Two way radios
17-1022.00,Surveyors,Visible beam lasers
17-1022.01,Geodetic Surveyors,Absolute gravimeters
17-1022.01,Geodetic Surveyors,Alidades
17-1022.01,Geodetic Surveyors,Altimeters
17-1022.01,Geodetic Surveyors,Chain saws
17-1022.01,Geodetic Surveyors,Clinometers
17-1022.01,Geodetic Surveyors,Cone penetration test probes
17-1022.01,Geodetic Surveyors,Desktop computers
17-1022.01,Geodetic Surveyors,Dual-frequency global positioning system GPS survey units
17-1022.01,Geodetic Surveyors,Global positioning system GPS receivers
17-1022.01,Geodetic Surveyors,Gravitational field indicators
17-1022.01,Geodetic Surveyors,Hypsometers
17-1022.01,Geodetic Surveyors,Laptop computers
17-1022.01,Geodetic Surveyors,Laser imaging detection and ranging LIDAR systems
17-1022.01,Geodetic Surveyors,Laser levels
17-1022.01,Geodetic Surveyors,Laser rangefinders
17-1022.01,Geodetic Surveyors,Machetes
17-1022.01,Geodetic Surveyors,Magnetic locaters
17-1022.01,Geodetic Surveyors,Mechanical theodolites
17-1022.01,Geodetic Surveyors,Personal computers
17-1022.01,Geodetic Surveyors,Picks
17-1022.01,Geodetic Surveyors,Relative gravimeters
17-1022.01,Geodetic Surveyors,Robotic total stations
17-1022.01,Geodetic Surveyors,Seismic activity recorders
17-1022.01,Geodetic Surveyors,Shovels
17-1022.01,Geodetic Surveyors,Survey levels
17-1022.01,Geodetic Surveyors,Surveying gradiometers
17-1022.01,Geodetic Surveyors,Transit levels
17-1022.01,Geodetic Surveyors,Wireline samplers
17-2011.00,Aerospace Engineers,Acoustic emissions systems
17-2011.00,Aerospace Engineers,Anechoic chambers
17-2011.00,Aerospace Engineers,Argon-ion lasers
17-2011.00,Aerospace Engineers,Atomic force microscopes
17-2011.00,Aerospace Engineers,Axial flow compressor facilities
17-2011.00,Aerospace Engineers,Axial flow research fans
17-2011.00,Aerospace Engineers,Axial flow turbines
17-2011.00,Aerospace Engineers,Centerless grinders
17-2011.00,Aerospace Engineers,Cluster computers
17-2011.00,Aerospace Engineers,Computer numerical controlled CNC milling machines
17-2011.00,Aerospace Engineers,Digital oscilloscopes
17-2011.00,Aerospace Engineers,Digital pressure gauges
17-2011.00,Aerospace Engineers,Digital voltmeters DVM
17-2011.00,Aerospace Engineers,Electronic flight instrument systems EFIS
17-2011.00,Aerospace Engineers,Electronic pressure scanners
17-2011.00,Aerospace Engineers,Fatigue testing machines
17-2011.00,Aerospace Engineers,Fiber optic interferometers
17-2011.00,Aerospace Engineers,Flight management systems FMS
17-2011.00,Aerospace Engineers,Flight simulators
17-2011.00,Aerospace Engineers,Flow meters
17-2011.00,Aerospace Engineers,Force transducers
17-2011.00,Aerospace Engineers,Impact guns
17-2011.00,Aerospace Engineers,Impinging jet apparatus
17-2011.00,Aerospace Engineers,Laboratory centrifugal pumps
17-2011.00,Aerospace Engineers,Laser Doppler velocimeters LDV
17-2011.00,Aerospace Engineers,Laser velocimeters
17-2011.00,Aerospace Engineers,Lasers
17-2011.00,Aerospace Engineers,Lathes
17-2011.00,Aerospace Engineers,Load frames
17-2011.00,Aerospace Engineers,Mainframe computers
17-2011.00,Aerospace Engineers,Multi-axis mills
17-2011.00,Aerospace Engineers,Parallel computers
17-2011.00,Aerospace Engineers,Personal computers
17-2011.00,Aerospace Engineers,Plotters
17-2011.00,Aerospace Engineers,Power microwave generators
17-2011.00,Aerospace Engineers,Profilometers
17-2011.00,Aerospace Engineers,Propellant combustion chambers
17-2011.00,Aerospace Engineers,Push/pull dynamometers
17-2011.00,Aerospace Engineers,Reflection polariscopes
17-2011.00,Aerospace Engineers,Signal generators
17-2011.00,Aerospace Engineers,Spectrometers
17-2011.00,Aerospace Engineers,Strain gauge balances
17-2011.00,Aerospace Engineers,Surface grinding machines
17-2011.00,Aerospace Engineers,Terminal computers
17-2011.00,Aerospace Engineers,Ultrasonic inspection equipment
17-2011.00,Aerospace Engineers,UNIX work stations
17-2011.00,Aerospace Engineers,Vacuum facilities
17-2011.00,Aerospace Engineers,Vibration isolation tables
17-2011.00,Aerospace Engineers,Viscometers
17-2011.00,Aerospace Engineers,Wave analyzers
17-2011.00,Aerospace Engineers,Welders
17-2021.00,Agricultural Engineers,Desktop computers
17-2021.00,Agricultural Engineers,Laptop computers
17-2021.00,Agricultural Engineers,Personal computers
17-2021.00,Agricultural Engineers,Personal digital assistants PDA
17-2021.00,Agricultural Engineers,Plotters
17-2021.00,Agricultural Engineers,Total stations
17-2031.00,Bioengineers and Biomedical Engineers,3T scanners
17-2031.00,Bioengineers and Biomedical Engineers,Accelerometers
17-2031.00,Bioengineers and Biomedical Engineers,Acoustic measurement systems
17-2031.00,Bioengineers and Biomedical Engineers,Acousto-optic modulators
17-2031.00,Bioengineers and Biomedical Engineers,Activity monitoring devices
17-2031.00,Bioengineers and Biomedical Engineers,Aerosol analyzers
17-2031.00,Bioengineers and Biomedical Engineers,Aerosol generators
17-2031.00,Bioengineers and Biomedical Engineers,Analytical balances
17-2031.00,Bioengineers and Biomedical Engineers,Anthropometers
17-2031.00,Bioengineers and Biomedical Engineers,Arbitrary waveform generators
17-2031.00,Bioengineers and Biomedical Engineers,Autoclaves
17-2031.00,Bioengineers and Biomedical Engineers,Automated particle counters
17-2031.00,Bioengineers and Biomedical Engineers,Automatic titrators
17-2031.00,Bioengineers and Biomedical Engineers,Autosamplers
17-2031.00,Bioengineers and Biomedical Engineers,Axial-torsional testing systems
17-2031.00,Bioengineers and Biomedical Engineers,Bacteria-based biosensors
17-2031.00,Bioengineers and Biomedical Engineers,Basic stamp microcontrollers
17-2031.00,Bioengineers and Biomedical Engineers,Bio-sensors
17-2031.00,Bioengineers and Biomedical Engineers,Bio-signal amplifiers
17-2031.00,Bioengineers and Biomedical Engineers,Bio-signal simulators
17-2031.00,Bioengineers and Biomedical Engineers,Biomagnetic imaging scanners
17-2031.00,Bioengineers and Biomedical Engineers,Biomedical device electrical safety testers
17-2031.00,Bioengineers and Biomedical Engineers,Biomimetic robots
17-2031.00,Bioengineers and Biomedical Engineers,Bioreactors
17-2031.00,Bioengineers and Biomedical Engineers,Biosafety cabinets
17-2031.00,Bioengineers and Biomedical Engineers,Bomb calorimeters
17-2031.00,Bioengineers and Biomedical Engineers,Camcorders
17-2031.00,Bioengineers and Biomedical Engineers,Capillary electrophoresis systems
17-2031.00,Bioengineers and Biomedical Engineers,Carbon dioxide CO2 incubators
17-2031.00,Bioengineers and Biomedical Engineers,Cardiovascular prosthetic device testers
17-2031.00,Bioengineers and Biomedical Engineers,Cell culture bioreactors
17-2031.00,Bioengineers and Biomedical Engineers,Centrifuges
17-2031.00,Bioengineers and Biomedical Engineers,Chemiluminescence analyzers
17-2031.00,Bioengineers and Biomedical Engineers,Circuit analyzers
17-2031.00,Bioengineers and Biomedical Engineers,Condensation nuclei counters CNC
17-2031.00,Bioengineers and Biomedical Engineers,Cone-plate viscometers
17-2031.00,Bioengineers and Biomedical Engineers,Confocal laser scanning microscopes
17-2031.00,Bioengineers and Biomedical Engineers,Contact angle goniometers
17-2031.00,Bioengineers and Biomedical Engineers,Defibrillator testing devices
17-2031.00,Bioengineers and Biomedical Engineers,Deflectors
17-2031.00,Bioengineers and Biomedical Engineers,Deoxyribonucleic acid DNA synthesizers
17-2031.00,Bioengineers and Biomedical Engineers,Desktop computers
17-2031.00,Bioengineers and Biomedical Engineers,Differential scanning calorimeters
17-2031.00,Bioengineers and Biomedical Engineers,Digital cameras
17-2031.00,Bioengineers and Biomedical Engineers,Digital luxmeters
17-2031.00,Bioengineers and Biomedical Engineers,Digital sonomicrometers
17-2031.00,Bioengineers and Biomedical Engineers,Dissolved oxygen polarographic measurement devices
17-2031.00,Bioengineers and Biomedical Engineers,Dissolved oxygen probes
17-2031.00,Bioengineers and Biomedical Engineers,Dynamometers
17-2031.00,Bioengineers and Biomedical Engineers,Electrical particle detectors
17-2031.00,Bioengineers and Biomedical Engineers,Electroblotting apparatus
17-2031.00,Bioengineers and Biomedical Engineers,Electrode bevelers
17-2031.00,Bioengineers and Biomedical Engineers,Electrode pullers
17-2031.00,Bioengineers and Biomedical Engineers,Electroencephalography EEG equipment
17-2031.00,Bioengineers and Biomedical Engineers,Electromyographs EMG
17-2031.00,Bioengineers and Biomedical Engineers,Electroplating apparatus
17-2031.00,Bioengineers and Biomedical Engineers,Electrosurgery testing devices
17-2031.00,Bioengineers and Biomedical Engineers,Ellipsometers
17-2031.00,Bioengineers and Biomedical Engineers,Endovascular stent-graft testing instruments
17-2031.00,Bioengineers and Biomedical Engineers,Environmental conditions measurement devices
17-2031.00,Bioengineers and Biomedical Engineers,Environmental growth chambers
17-2031.00,Bioengineers and Biomedical Engineers,Enzymatic membrane reactors
17-2031.00,Bioengineers and Biomedical Engineers,Enzyme-linked immunosorbent assay ELISA plate readers
17-2031.00,Bioengineers and Biomedical Engineers,Extruders
17-2031.00,Bioengineers and Biomedical Engineers,Eye tracking devices
17-2031.00,Bioengineers and Biomedical Engineers,Fast protein liquid chromatographs FPLC
17-2031.00,Bioengineers and Biomedical Engineers,Finger joint flexure testers
17-2031.00,Bioengineers and Biomedical Engineers,Flame ionization detectors FID
17-2031.00,Bioengineers and Biomedical Engineers,Flash point detectors
17-2031.00,Bioengineers and Biomedical Engineers,Flow control devices
17-2031.00,Bioengineers and Biomedical Engineers,Flow cytometers
17-2031.00,Bioengineers and Biomedical Engineers,Fluorescence microscopes
17-2031.00,Bioengineers and Biomedical Engineers,Fluorospectrometers
17-2031.00,Bioengineers and Biomedical Engineers,Footswitch sensors
17-2031.00,Bioengineers and Biomedical Engineers,Force platforms
17-2031.00,Bioengineers and Biomedical Engineers,Fourier transform infrared FTIR spectrometers
17-2031.00,Bioengineers and Biomedical Engineers,Freeze dryers
17-2031.00,Bioengineers and Biomedical Engineers,Frequency shifters
17-2031.00,Bioengineers and Biomedical Engineers,Functional magnetic resonance imaging fMRI scanners
17-2031.00,Bioengineers and Biomedical Engineers,Gas chromatographs GC
17-2031.00,Bioengineers and Biomedical Engineers,Gas flow control systems
17-2031.00,Bioengineers and Biomedical Engineers,Gel documentation systems
17-2031.00,Bioengineers and Biomedical Engineers,Glass micromolds
17-2031.00,Bioengineers and Biomedical Engineers,Grass stimulators
17-2031.00,Bioengineers and Biomedical Engineers,Grip dynamometers
17-2031.00,Bioengineers and Biomedical Engineers,Hardness testing devices
17-2031.00,Bioengineers and Biomedical Engineers,High pressure liquid chromatographs HPLC
17-2031.00,Bioengineers and Biomedical Engineers,High-speed digital cameras
17-2031.00,Bioengineers and Biomedical Engineers,Immuno-sensors
17-2031.00,Bioengineers and Biomedical Engineers,Impact testers
17-2031.00,Bioengineers and Biomedical Engineers,Incubator performance analyzers
17-2031.00,Bioengineers and Biomedical Engineers,Incubators
17-2031.00,Bioengineers and Biomedical Engineers,Insole sensors
17-2031.00,Bioengineers and Biomedical Engineers,Intravenous IV pump analyzers
17-2031.00,Bioengineers and Biomedical Engineers,Inverted light microscopes
17-2031.00,Bioengineers and Biomedical Engineers,Ion chromatographs
17-2031.00,Bioengineers and Biomedical Engineers,Ion exchange purification systems
17-2031.00,Bioengineers and Biomedical Engineers,Ion trap mass spectrometers
17-2031.00,Bioengineers and Biomedical Engineers,Isolators
17-2031.00,Bioengineers and Biomedical Engineers,Laminar flow hoods
17-2031.00,Bioengineers and Biomedical Engineers,Laptop computers
17-2031.00,Bioengineers and Biomedical Engineers,Laser ablation machines
17-2031.00,Bioengineers and Biomedical Engineers,Liquid handling robots
17-2031.00,Bioengineers and Biomedical Engineers,Load sensors
17-2031.00,Bioengineers and Biomedical Engineers,Low-pressure impactors
17-2031.00,Bioengineers and Biomedical Engineers,Magnetic resonance imaging MRI systems
17-2031.00,Bioengineers and Biomedical Engineers,Maskless photolithography equipment
17-2031.00,Bioengineers and Biomedical Engineers,Material fatigue and dynamics characterization devices
17-2031.00,Bioengineers and Biomedical Engineers,Material tension/compression testing devices
17-2031.00,Bioengineers and Biomedical Engineers,Medical radiation dosimeters
17-2031.00,Bioengineers and Biomedical Engineers,Microbial fermenters
17-2031.00,Bioengineers and Biomedical Engineers,Microcontrollers
17-2031.00,Bioengineers and Biomedical Engineers,Microelectrodes
17-2031.00,Bioengineers and Biomedical Engineers,Microfluidic networks
17-2031.00,Bioengineers and Biomedical Engineers,Micromanipulation microrheology microscopes
17-2031.00,Bioengineers and Biomedical Engineers,Micromolding lithography equipment
17-2031.00,Bioengineers and Biomedical Engineers,Microplate readers
17-2031.00,Bioengineers and Biomedical Engineers,Microplate spectrophotometers
17-2031.00,Bioengineers and Biomedical Engineers,Microplate washers
17-2031.00,Bioengineers and Biomedical Engineers,Microplating equipment
17-2031.00,Bioengineers and Biomedical Engineers,Micropumps
17-2031.00,Bioengineers and Biomedical Engineers,Microvalves
17-2031.00,Bioengineers and Biomedical Engineers,Milling machines
17-2031.00,Bioengineers and Biomedical Engineers,Molecular cytosensors
17-2031.00,Bioengineers and Biomedical Engineers,Molecular vacuum pumps
17-2031.00,Bioengineers and Biomedical Engineers,Motion actuators
17-2031.00,Bioengineers and Biomedical Engineers,Multi-axis kinematic knee simulators
17-2031.00,Bioengineers and Biomedical Engineers,Multi-photon microscopes
17-2031.00,Bioengineers and Biomedical Engineers,Multimeters
17-2031.00,Bioengineers and Biomedical Engineers,Non-invasive blood pressure monitor analyzers
17-2031.00,Bioengineers and Biomedical Engineers,Nuclear magnetic resonance NMR spectroscopes
17-2031.00,Bioengineers and Biomedical Engineers,Optical coherence tomography OCT scanners
17-2031.00,Bioengineers and Biomedical Engineers,Optical particle counters
17-2031.00,Bioengineers and Biomedical Engineers,Optical particle detectors
17-2031.00,Bioengineers and Biomedical Engineers,Optical tomographic imaging scanners
17-2031.00,Bioengineers and Biomedical Engineers,Optical traps
17-2031.00,Bioengineers and Biomedical Engineers,Opto-electronic electrogoniometers
17-2031.00,Bioengineers and Biomedical Engineers,Orbital shakers
17-2031.00,Bioengineers and Biomedical Engineers,Oscilloscopes
17-2031.00,Bioengineers and Biomedical Engineers,Oxygen meters
17-2031.00,Bioengineers and Biomedical Engineers,Pacemaker analyzers
17-2031.00,Bioengineers and Biomedical Engineers,Pacemaker testing devices
17-2031.00,Bioengineers and Biomedical Engineers,Particle size classifiers
17-2031.00,Bioengineers and Biomedical Engineers,Patient monitoring testing devices
17-2031.00,Bioengineers and Biomedical Engineers,Personal computers
17-2031.00,Bioengineers and Biomedical Engineers,pH meters
17-2031.00,Bioengineers and Biomedical Engineers,Physical conditioning treadmill exercisers
17-2031.00,Bioengineers and Biomedical Engineers,Piezoelectric ceramic transducers
17-2031.00,Bioengineers and Biomedical Engineers,Piezoelectric sensors
17-2031.00,Bioengineers and Biomedical Engineers,Pinch gauges
17-2031.00,Bioengineers and Biomedical Engineers,Plant photosynthesis meters
17-2031.00,Bioengineers and Biomedical Engineers,Plasma excitation chambers
17-2031.00,Bioengineers and Biomedical Engineers,Plastic injection molding machines
17-2031.00,Bioengineers and Biomedical Engineers,Polygraph recorders
17-2031.00,Bioengineers and Biomedical Engineers,Polymer matrices
17-2031.00,Bioengineers and Biomedical Engineers,Polymer scaffolds
17-2031.00,Bioengineers and Biomedical Engineers,Polymerase chain reaction PCR equipment
17-2031.00,Bioengineers and Biomedical Engineers,Positron emission tomography PET scanners
17-2031.00,Bioengineers and Biomedical Engineers,Posturographic measurement systems
17-2031.00,Bioengineers and Biomedical Engineers,Pressure and temperature measurement devices
17-2031.00,Bioengineers and Biomedical Engineers,Pressure sensors
17-2031.00,Bioengineers and Biomedical Engineers,Pressure transducers
17-2031.00,Bioengineers and Biomedical Engineers,Prosthetic limb testers
17-2031.00,Bioengineers and Biomedical Engineers,Protein gel electrophoresis
17-2031.00,Bioengineers and Biomedical Engineers,Pulsating bubble surfactometers PBS
17-2031.00,Bioengineers and Biomedical Engineers,Pulse oximeters
17-2031.00,Bioengineers and Biomedical Engineers,Quadrupole mass spectrometers
17-2031.00,Bioengineers and Biomedical Engineers,Quantum-based switching applications Q-switch electron waveguides
17-2031.00,Bioengineers and Biomedical Engineers,Radiation compliance testing devices
17-2031.00,Bioengineers and Biomedical Engineers,Radio frequency amplifiers
17-2031.00,Bioengineers and Biomedical Engineers,Rapid toxicity testing systems
17-2031.00,Bioengineers and Biomedical Engineers,Real-time polymerase chain reaction PCR equipment
17-2031.00,Bioengineers and Biomedical Engineers,Refractive index detectors
17-2031.00,Bioengineers and Biomedical Engineers,Rheometers
17-2031.00,Bioengineers and Biomedical Engineers,Scanning electron microscopes SEM
17-2031.00,Bioengineers and Biomedical Engineers,Scanning probe microscopes SPM
17-2031.00,Bioengineers and Biomedical Engineers,Servopneumatic actuators
17-2031.00,Bioengineers and Biomedical Engineers,Servopneumatic axial test instruments
17-2031.00,Bioengineers and Biomedical Engineers,Single photon emission computed tomography SPECT scanners
17-2031.00,Bioengineers and Biomedical Engineers,Skinfold calipers
17-2031.00,Bioengineers and Biomedical Engineers,Soft materials in-vitro simulation system
17-2031.00,Bioengineers and Biomedical Engineers,Spectrofluorimeters
17-2031.00,Bioengineers and Biomedical Engineers,Spinal disk implant wear testers
17-2031.00,Bioengineers and Biomedical Engineers,Spine simulators
17-2031.00,Bioengineers and Biomedical Engineers,Spirometers
17-2031.00,Bioengineers and Biomedical Engineers,Sterilization-in-place equipment
17-2031.00,Bioengineers and Biomedical Engineers,Strain gauge conditioners
17-2031.00,Bioengineers and Biomedical Engineers,Strain gauges
17-2031.00,Bioengineers and Biomedical Engineers,Sublimation printers
17-2031.00,Bioengineers and Biomedical Engineers,Sugar analyzers
17-2031.00,Bioengineers and Biomedical Engineers,Superconducting quantum interference devices SQUID
17-2031.00,Bioengineers and Biomedical Engineers,Surface area analyzers
17-2031.00,Bioengineers and Biomedical Engineers,Tensionmeters
17-2031.00,Bioengineers and Biomedical Engineers,Thermal cyclers
17-2031.00,Bioengineers and Biomedical Engineers,Torsiometers
17-2031.00,Bioengineers and Biomedical Engineers,Total organic carbon TOC analyzers
17-2031.00,Bioengineers and Biomedical Engineers,Toxic gas detectors
17-2031.00,Bioengineers and Biomedical Engineers,Two-point discriminators
17-2031.00,Bioengineers and Biomedical Engineers,Ultra high speed magnetic resonance imaging MRI scanner machines
17-2031.00,Bioengineers and Biomedical Engineers,Ultrasonic testing apparatus
17-2031.00,Bioengineers and Biomedical Engineers,Ultrasound imaging scanners
17-2031.00,Bioengineers and Biomedical Engineers,Ultrasound indention probes
